id,Nome_KOI,Nome_Kepler,Disposicao_KOI,Pontuacao_KOI,Periodo_Orbital,Raio_Planeta,Temperatura_Equilibrio,Fluxo_Insolacao,Temperatura_Efetiva,Gravidade_Surface,Erro_Periodo_Orbital_+,Erro_Periodo_Orbital_-,Flag_Nao_Transito,Flag_Sinal_Secundario,Flag_Contaminacao,Flag_Contaminacao_Ecliptica
10587105,K00339.03,Kepler-529 d,CONFIRMED,1.0,35.8656484,2.44,633.0,37.92,3358.8888888888887,4.29,0.0003421,-0.0003421,0,0,0,0
8558011,K00577.02,Kepler-607 b,CONFIRMED,1.0,0.638162933,0.91,1874.0,2928.31,2895.5555555555557,4.449,1.922e-06,-1.922e-06,0,0,0,0
5283728,K05149.01,Kepler-7645 r,CANDIDATE,0.999,43.681309,1.33,473.0,11.86,3163.3333333333335,4.564,0.002007,-0.002007,0,0,0,0
5374838,K05155.01,Kepler-3132 r,CANDIDATE,0.953,230.180357,7.57,347.0,3.41,3489.4444444444443,4.364,0.001044,-0.001044,0,0,0,0
6366559,K05274.01,Kepler-2267 r,CANDIDATE,0.325,55.7583803,1.59,537.0,19.6,2989.4444444444443,4.107,0.0006725,-0.0006725,0,0,0,0
6367663,K05275.01,Kepler-9688 r,CANDIDATE,0.0,3.781123,1.16,1421.0,962.72,3492.222222222222,4.247,0.001038,-0.001038,0,0,0,0
6368905,K05276.01,Kepler-4572 rr,CANDIDATE,0.193,220.720142,2.0,235.0,0.72,2843.3333333333335,4.634,0.00618,-0.00618,0,0,0,0
6387557,K05279.01,Kepler-5404 rr,CANDIDATE,0.765,103.722152,1.95,414.0,6.92,3195.5555555555557,4.33,0.00234,-0.00234,0,0,0,0
5294945,K03463.01,Kepler-1162 rr,CANDIDATE,0.854,32.5474295,1.42,618.0,34.42,3353.3333333333335,4.384,0.0005213,-0.0005213,0,0,0,0
7742408,K03478.01,Kepler-1697 b,CONFIRMED,0.998,33.4969115,2.97,630.0,37.3,2720.0,3.966,0.0004098,-0.0004098,0,0,0,0
6509282,K05287.01,Kepler-6692 rr,CANDIDATE,1.0,3.98916186,28.1,3293.0,27838.74,2758.8888888888887,2.524,2.025e-05,-2.025e-05,0,0,0,0
8231667,K03494.01,Kepler-1926 b,CONFIRMED,1.0,42.8774169,2.67,451.0,9.8,2902.222222222222,4.483,0.0002596,-0.0002596,0,0,0,0
6697817,K03508.01,Kepler-7900 rr,CANDIDATE,0.975,190.800788,1.67,321.0,2.51,3311.6666666666665,4.489,0.002576,-0.002576,0,0,0,0
5437945,K03791.02,Kepler-460 c,CONFIRMED,0.902,220.142913,5.94,389.0,5.4,3504.4444444444443,4.163,0.001289,-0.001289,0,0,0,0
5443320,K05169.01,Kepler-7504 rr,CANDIDATE,0.991,21.3684341,1.72,551.0,21.86,2873.3333333333335,4.515,0.0001335,-0.0001335,0,0,0,0
6511182,K05288.01,Kepler-363 rr,CANDIDATE,0.994,29.5632952,1.9,527.0,18.23,3090.5555555555557,4.562,0.000217,-0.000217,0,0,0,0
1865864,K04926.01,Kepler-9043 r,CANDIDATE,0.523,69.089357,1.47,332.0,2.87,2675.5555555555557,4.581,0.002371,-0.002371,0,0,0,0
1873513,K04928.01,Kepler-1624 b,CONFIRMED,0.998,3.290304098,4.91,540.0,20.06,1863.3333333333333,4.81,4.432e-06,-4.432e-06,0,0,0,0
5551240,K05178.01,Kepler-1626 b,CONFIRMED,1.0,4.13960513,1.24,1352.0,789.48,3612.777777777778,4.373,4.082e-05,-4.082e-05,0,0,0,0
6543192,K05297.01,Kepler-5228 r,CANDIDATE,0.962,8.0906952,0.8,811.0,102.43,2967.777777777778,4.495,0.0001305,-0.0001305,0,0,0,0
6594945,K05300.01,Kepler-943 r,CANDIDATE,0.0,188.954072,2.46,468.0,11.36,3533.3333333333335,3.967,0.008036,-0.008036,0,0,0,0
6634112,K05308.01,Kepler-341 rr,CANDIDATE,0.0,9.942228056,22.15,740.0,70.93,2908.8888888888887,4.475,6.87e-07,-6.87e-07,0,0,0,0
6675757,K05310.01,Kepler-6606 rr,CANDIDATE,0.982,22.2903562,1.13,632.0,37.67,3091.6666666666665,4.418,0.0002366,-0.0002366,0,0,0,0
2310993,K04938.01,Kepler-7577 rr,CANDIDATE,0.997,55.180772,2.37,531.0,18.79,3485.5555555555557,4.426,0.001662,-0.001662,0,0,0,0
4478142,K05067.01,Kepler-3332 r,CANDIDATE,0.898,219.931324,2.3,279.0,1.43,3069.4444444444443,4.5,0.0067,-0.0067,0,0,0,0
6805414,K05329.01,Kepler-8929 rr,CANDIDATE,0.999,200.2350497,10.99,325.0,2.63,3375.5555555555557,4.471,0.0005895,-0.0005895,0,0,0,0
6869373,K05331.01,Kepler-1094 r,CANDIDATE,0.884,31.5034587,1.17,484.0,13.02,2909.4444444444443,4.567,0.0005175,-0.0005175,0,0,0,0
6875342,K05332.01,Kepler-476 r,CANDIDATE,0.894,22.2381062,1.09,702.0,57.27,3422.222222222222,4.433,0.0007492,-0.0007492,0,0,0,0
